"Channel 1!!!_x","Channel 1!!!_y"
1173,1.178045682,
1174,1.096801152,
1175,1.245749457,
1176,1.354075496,
1177,1.299912476,
1178,1.096801152,
1179,1.110341907,
1180,1.015556622,
1181,1.002015867,
1182,1.150964172,
1183,1.137423417,
1184,1.083260397,
1185,1.299912476,
1186,1.096801152,
1187,1.042638132,
1188,1.029097377,
1189,1.164504927,
1190,1.178045682,
1191,1.286371721,
1192,1.042638132,
1193,1.178045682,
1194,1.083260397,
1195,1.123882662,
1196,1.110341907,
1197,1.123882662,
1198,1.083260397,
1199,1.069719642,
1200,1.123882662,
1201,1.326993986,
1202,1.245749457,
1203,1.042638132,
1204,1.232208702,
1205,1.394697761,
1206,1.096801152,
1207,1.218667947,
1208,0.9613936024,
1209,1.123882662,
1210,1.150964172,
1211,1.110341907,
1212,1.056178887,
1213,1.015556622,
1214,1.123882662,
1215,1.259290212,
1216,1.299912476,
1217,1.123882662,
1218,1.394697761,
1219,1.272830967,
1220,1.137423417,
1221,1.178045682,
1222,1.191586437,
1223,1.340534741,
1224,1.029097377,
1225,0.9749343573,
1226,1.002015867,
1227,1.069719642,
1228,1.354075496,
1229,1.272830967,
1230,1.002015867,
1231,1.096801152,
1232,0.9072305825,
1233,1.286371721,
1234,0.9884751123,
1235,1.096801152,
1236,1.286371721,
1237,1.069719642,
1238,1.299912476,
1239,1.178045682,
1240,1.056178887,
1241,0.9613936024,
1242,1.029097377,
1243,1.150964172,
1244,1.164504927,
1245,1.218667947,
1246,1.123882662,
1247,1.042638132,
1248,0.9613936024,
1249,0.9343120924,
1250,1.096801152,
1251,1.015556622,
1252,1.069719642,
1253,1.191586437,
1254,1.435320026,
1255,1.191586437,
1256,1.110341907,
1257,1.178045682,
1258,1.137423417,
1259,0.9343120924,
1260,1.096801152,
1261,1.069719642,
1262,1.083260397,
1263,1.150964172,
1264,1.191586437,
1265,1.164504927,
1266,1.042638132,
1267,1.286371721,
1268,1.056178887,
1269,1.232208702,
1270,1.191586437,
1271,1.354075496,
1272,1.137423417,
1273,1.123882662,
1274,1.083260397,
1275,1.191586437,
1276,1.245749457,
1277,1.056178887,
1278,1.096801152,
1279,0.9613936024,
1280,0.9478528474,
1281,1.164504927,
1282,1.367616251,
1283,1.110341907,
1284,1.123882662,
1285,1.137423417,
1286,1.123882662,
1287,0.9343120924,
1288,1.150964172,
1289,1.083260397,
1290,1.178045682,
1291,1.272830967,
1292,1.164504927,
1293,1.191586437,
1294,1.042638132,
1295,1.299912476,
1296,1.232208702,
1297,1.123882662,
1298,1.137423417,
1299,1.137423417,
1300,1.394697761,
1301,0.9749343573,
1302,1.002015867,
1303,1.002015867,
1304,1.056178887,
1305,0.9072305825,
1306,0.7582822779,
1307,0.9884751123,
1308,1.164504927,
1309,1.150964172,
1310,1.245749457,
1311,1.110341907,
1312,1.340534741,
1313,1.218667947,
1314,1.178045682,
1315,1.123882662,
1316,1.259290212,
1317,1.137423417,
1318,1.069719642,
1319,1.137423417,
1320,1.096801152,
1321,0.9749343573,
1322,0.9884751123,
1323,1.218667947,
1324,1.164504927,
1325,1.232208702,
1326,1.123882662,
1327,0.9613936024,
1328,1.340534741,
1329,1.245749457,
1330,0.9478528474,
1331,1.110341907,
1332,1.137423417,
1333,1.029097377,
1334,0.9343120924,
1335,1.178045682,
1336,1.205127192,
1337,1.191586437,
1338,1.381157006,
1339,1.164504927,
1340,1.299912476,
1341,1.110341907,
1342,1.191586437,
1343,1.069719642,
1344,1.150964172,
1345,1.232208702,
1346,1.164504927,
1347,1.367616251,
1348,1.164504927,
1349,1.218667947,
1350,1.218667947,
1351,1.123882662,
1352,1.326993986,
1353,1.150964172,
1354,1.042638132,
1355,1.245749457,
1356,1.218667947,
1357,1.029097377,
1358,1.123882662,
1359,1.245749457,
1360,1.340534741,
1361,1.218667947,
1362,1.205127192,
1363,1.123882662,
1364,1.218667947,
1365,1.069719642,
1366,1.042638132,
1367,1.164504927,
1368,1.448860781,
1369,1.069719642,
1370,1.218667947,
1371,1.137423417,
1372,1.164504927,
1373,0.8395268077,
1374,1.083260397,
1375,1.232208702,
1376,1.178045682,
1377,1.191586437,
1378,1.069719642,
1379,1.164504927,
1380,1.056178887,
1381,1.150964172,
1382,1.029097377,
1383,1.164504927,
1384,1.029097377,
1385,1.232208702,
1386,1.137423417,
1387,1.259290212,
1388,1.137423417,
1389,0.9478528474,
1390,1.286371721,
1391,1.218667947,
1392,1.002015867,
1393,1.137423417,
1394,1.069719642,
1395,1.069719642,
1396,1.110341907,
1397,1.002015867,
1398,1.218667947,
1399,0.9749343573,
1400,1.029097377,
1401,1.137423417,
1402,0.9884751123,
1403,1.069719642,
1404,1.083260397,
1405,1.313453231,
1406,1.096801152,
1407,1.083260397,
1408,1.069719642,
1409,1.205127192,
1410,0.9207713375,
1411,1.164504927,
1412,1.354075496,
1413,1.150964172,
1414,1.110341907,
1415,1.150964172,
1416,1.178045682,
1417,1.137423417,
1418,1.245749457,
1419,1.272830967,
1420,1.245749457,
1421,1.191586437,
1422,1.137423417,
1423,1.435320026,
1424,0.9207713375,
1425,1.164504927,
1426,1.259290212,
1427,1.178045682,
1428,0.9884751123,
1429,1.381157006,
1430,1.029097377,
1431,1.394697761,
1432,1.137423417,
1433,1.326993986,
1434,1.245749457,
1435,1.326993986,
1436,0.9343120924,
1437,1.245749457,
1438,0.9343120924,
1439,1.245749457,
1440,1.340534741,
1441,1.232208702,
1442,1.178045682,
1443,1.137423417,
1444,1.069719642,
1445,0.9749343573,
1446,1.150964172,
1447,1.354075496,
1448,1.096801152,
1449,1.178045682,
1450,1.110341907,
1451,1.015556622,
1452,1.178045682,
1453,1.137423417,
1454,1.178045682,
1455,1.164504927,
1456,1.042638132,
1457,1.137423417,
1458,1.205127192,
1459,1.150964172,
1460,1.056178887,
1461,1.191586437,
1462,1.150964172,
1463,1.164504927,
1464,1.313453231,
1465,1.340534741,
1466,1.042638132,
1467,0.9343120924,
1468,1.137423417,
1469,1.042638132,
1470,1.178045682,
1471,1.042638132,
1472,0.9478528474,
1473,1.218667947,
