fit_power_watt,frequency_Hz
1.1767865481428862e-09,101250625.31265633
1.1767868952053153e-09,101650825.41270636
1.1767872438983653e-09,102051025.51275638
1.176787594232261e-09,102451225.61280641
1.1767879462173142e-09,102851425.71285644
1.1767882998639084e-09,103251625.81290646
1.1767886551825333e-09,103651825.91295649
1.176789012183727e-09,104052026.01300651
1.1767893708781334e-09,104452226.11305654
1.1767897312764824e-09,104852426.21310656
1.176790093389582e-09,105252626.31315659
1.1767904572283118e-09,105652826.4132066
1.1767908228036666e-09,106053026.51325664
1.1767911901267143e-09,106453226.61330666
1.1767915592085994e-09,106853426.71335669
1.176791930060572e-09,107253626.8134067
1.1767923026939744e-09,107653826.91345674
1.176792677120225e-09,108054027.01350676
1.1767930533508493e-09,108454227.11355679
1.1767934313974484e-09,108854427.2136068
1.1767938112717354e-09,109254627.31365684
1.1767941929854998e-09,109654827.41370685
1.1767945765506469e-09,110055027.51375689
1.1767949619791539e-09,110455227.6138069
1.1767953492831186e-09,110855427.71385694
1.1767957384747209e-09,111255627.81390697
1.1767961295662458e-09,111655827.91395698
1.1767965225700852e-09,112056028.01400702
1.1767969174987171e-09,112456228.11405703
1.1767973143647303e-09,112856428.21410707
1.1767977131808197e-09,113256628.31415708
1.1767981139597762e-09,113656828.41420712
1.1767985167144969e-09,114057028.51425713
1.176798921457999e-09,114457228.61430717
1.1767993282033867e-09,114857428.71435718
1.1767997369638842e-09,115257628.81440721
1.1768001477528222e-09,115657828.91445723
1.176800560583646e-09,116058029.01450726
1.176800975469903e-09,116458229.11455728
1.1768013924252552e-09,116858429.21460731
1.1768018114634909e-09,117258629.31465733
1.1768022325985032e-09,117658829.41470736
1.1768026558442921e-09,118059029.51475738
1.1768030812150013e-09,118459229.61480741
1.1768035087248614e-09,118859429.71485743
1.1768039383882428e-09,119259629.81490746
1.176804370219636e-09,119659829.9149575
1.1768048042336427e-09,120060030.01500751
1.1768052404450036e-09,120460230.11505754
1.1768056788685608e-09,120860430.21510756
1.1768061195193008e-09,121260630.31515759
1.1768065624123405e-09,121660830.41520761
1.176807007562902e-09,122061030.51525764
1.176807454986367e-09,122461230.61530766
1.1768079046982222e-09,122861430.71535769
1.1768083567141e-09,123261630.81540771
1.1768088110497665e-09,123661830.91545774
1.1768092677211137e-09,124062031.01550776
1.1768097267441774e-09,124462231.11555779
1.1768101881351387e-09,124862431.2156078
1.1768106519103029e-09,125262631.31565784
1.1768111180861204e-09,125662831.41570786
1.1768115866791908e-09,126063031.51575789
1.1768120577062485e-09,126463231.6158079
1.1768125311841768e-09,126863431.71585794
1.1768130071300085e-09,127263631.81590796
1.1768134855609162e-09,127663831.91595799
1.1768139664942312e-09,128064032.01600802
