fit_power_watt,frequency_Hz
1.1925176040874243e-09,218509254.62731367
1.1927239402142517e-09,218909454.7273637
1.192934293472799e-09,219309654.8274137
1.1931487677290528e-09,219709854.92746374
1.1933674701904427e-09,220110055.02751377
1.1935905115341632e-09,220510255.1275638
1.19381800604116e-09,220910455.2276138
1.1940500717361275e-09,221310655.32766384
1.1942868305338086e-09,221710855.42771387
1.1945284083919087e-09,222111055.5277639
1.1947749354709956e-09,222511255.62781394
1.1950265463016834e-09,222911455.72786394
1.195283379959536e-09,223311655.82791397
1.195545580248076e-09,223711855.927964
1.1958132958903207e-09,224112056.02801403
1.1960866807292586e-09,224512256.12806404
1.1963658939378402e-09,224912456.22811407
1.1966511002388678e-09,225312656.3281641
1.1969424701353708e-09,225712856.42821413
1.1972401801521029e-09,226113056.52826414
1.1975444130885968e-09,226513256.62831417
1.197855358284586e-09,226913456.7283642
1.1981732118983136e-09,227313656.82841423
1.1984981771985772e-09,227713856.92846423
1.1988304648711765e-09,228114057.02851427
1.1991702933405699e-09,228514257.1285643
1.1995178891076633e-09,228914457.22861433
1.199873487104571e-09,229314657.32866433
1.2002373310673247e-09,229714857.42871436
1.200609673927545e-09,230115057.5287644
1.2009907782242434e-09,230515257.62881443
1.2013809165367315e-09,230915457.72886446
1.2017803719401072e-09,231315657.82891446
1.2021894384843505e-09,231715857.9289645
1.202608421698692e-09,232116058.02901453
1.2030376391224952e-09,232516258.12906456
1.2034774208644027e-09,232916458.22911456
1.203928110191318e-09,233316658.3291646
1.204390064149038e-09,233716858.42921463
1.2048636542164482e-09,234117058.52926466
1.2053492669953089e-09,234517258.62931466
1.2058473049377369e-09,234917458.7293647
1.2063581871137937e-09,235317658.82941473
1.206882350021479e-09,235717858.92946476
1.2074202484419299e-09,236118059.02951476
1.207972356342449e-09,236518259.1295648
1.2085391678304325e-09,236918459.22961482
1.2091211981613742e-09,237318659.32966486
1.2097189848042787e-09,237718859.42971486
1.210333088568206e-09,238119059.5297649
1.2109640947936692e-09,238519259.62981492
1.2116126146131749e-09,238919459.72986495
1.2122792862851567e-09,239319659.829915
1.2129647766061471e-09,239719859.929965
1.2136697824060985e-09,240120060.03001502
1.2143950321322998e-09,240520260.13006505
1.215141287527556e-09,240920460.2301151
1.2159093454088357e-09,241320660.3301651
1.2167000395527855e-09,241720860.43021512
1.2175142426952737e-09,242121060.53026515
1.2183528686522163e-09,242521260.63031518
1.2192168745697899e-09,242921460.7303652
1.220107263312405e-09,243321660.83041522
1.2210250859975542e-09,243721860.93046525
1.2219714446871342e-09,244122061.03051528
1.222947495245551e-09,244522261.1305653
1.2239544503754954e-09,244922461.23061532
1.2249935828431285e-09,245322661.33066535
1.2260662289049386e-09,245722861.43071538
1.2271737919495116e-09,246123061.53076538
1.2283177463681846e-09,246523261.63081542
1.2294996416692496e-09,246923461.73086545
1.2307211068515292e-09,247323661.83091548
1.2319838550536954e-09,247723861.9309655
1.2332896884969397e-09,248124062.03101552
1.234640503739104e-09,248524262.13106555
1.2360382972597443e-09,248924462.23111558
1.2374851713960007e-09,249324662.3311656
1.2389833406504013e-09,249724862.4312156
1.2405351383921774e-09,250125062.53126565
1.2421430239744898e-09,250525262.63131568
1.243809590290626e-09,250925462.7313657
1.2455375717922571e-09,251325662.8314157
1.247329852993389e-09,251725862.93146574
1.2491894774832454e-09,252126063.03151578
1.2511196574708147e-09,252526263.1315658
1.2531237838828563e-09,252926463.2316158
1.2552054370355758e-09,253326663.33166584
1.2573683978976682e-09,253726863.43171588
1.2596166599594626e-09,254127063.5317659
1.2619544417181487e-09,254527263.6318159
1.2643861997836828e-09,254927463.73186594
1.2669166426022706e-09,255327663.83191597
1.269550744784948e-09,255727863.931966
1.2722937620169097e-09,256128064.03201604
1.2751512465082668e-09,256528264.13206604
1.2781290629283982e-09,256928464.23211607
1.2812334047435127e-09,257328664.3321661
1.2844708108488766e-09,257728864.43221614
1.2878481823534842e-09,258129064.53226614
1.291372799333448e-09,258529264.63231617
1.295052337320656e-09,258929464.7323662
1.298894883233326e-09,259329664.83241624
1.3029089503827988e-09,259729864.93246624
1.3071034921052576e-09,260130065.03251627
1.311487913464483e-09,260530265.1325663
1.316072080350382e-09,260930465.23261634
1.3208663251550021e-09,261330665.33266634
1.3258814480391547e-09,261730865.43271637
1.331128712606285e-09,262131065.5327664
1.336619834571254e-09,262531265.63281643
1.3423669617476437e-09,262931465.73286644
1.3483826433743626e-09,263331665.83291647
1.3546797864579287e-09,263731865.9329665
1.3612715964197043e-09,264132066.03301653
1.3681714989072467e-09,264532266.13306653
1.3753930391586387e-09,264932466.23311657
