"Channel 1!!!_x","Channel 1!!!_y"
366,3.283144678,
367,3.461146498,
368,3.302922658,
369,3.263366698,
370,3.256774038,
371,3.395219898,
372,3.157884138,
373,3.467739158,
374,3.494109798,
375,3.388627238,
376,3.388627238,
377,3.144698818,
378,3.012845619,
379,3.388627238,
380,3.302922658,
381,3.045808919,
382,3.118328178,
383,3.480924478,
384,3.441368518,
385,3.375441918,
386,3.401812558,
387,3.428183198,
388,3.566629058,
389,3.217218078,
390,3.217218078,
391,3.269959358,
392,3.467739158,
393,3.091957539,
394,3.085364879,
395,3.454553838,
396,3.368849258,
397,3.039216259,
398,3.283144678,
399,3.454553838,
400,3.454553838,
401,3.540258418,
402,3.375441918,
403,3.217218078,
404,3.184254778,
405,3.289737338,
406,3.131513498,
407,3.368849258,
408,3.329293298,
409,3.124920838,
410,3.362256598,
411,3.177662118,
412,3.395219898,
413,3.461146498,
414,3.124920838,
415,3.467739158,
416,3.118328178,
417,3.078772219,
418,3.177662118,
419,3.276552018,
420,3.151291478,
421,3.375441918,
422,3.309515318,
423,3.480924478,
424,3.428183198,
425,3.283144678,
426,3.091957539,
427,3.190847438,
428,3.283144678,
429,3.289737338,
430,3.019438279,
431,3.236996058,
432,3.263366698,
433,3.658926298,
434,3.236996058,
435,3.210625418,
436,3.480924478,
437,3.329293298,
438,3.204032758,
439,3.039216259,
440,3.316107978,
441,3.190847438,
442,3.586407038,
443,3.256774038,
444,3.375441918,
445,3.204032758,
446,3.368849258,
447,3.382034578,
448,2.993067639,
449,3.289737338,
450,3.441368518,
451,3.368849258,
452,3.309515318,
453,3.368849258,
454,3.302922658,
455,3.230403398,
456,3.098550199,
457,3.382034578,
458,3.171069458,
459,3.263366698,
460,3.144698818,
461,3.606185018,
462,3.625962998,
463,3.197440098,
464,3.236996058,
465,3.355663938,
466,3.289737338,
467,3.204032758,
468,3.395219898,
469,3.447961178,
470,3.447961178,
471,3.269959358,
472,2.979882319,
473,3.177662118,
474,3.527073098,
475,3.118328178,
476,3.197440098,
477,3.428183198,
478,3.480924478,
479,3.085364879,
480,3.177662118,
481,3.487517138,
482,3.342478618,
483,3.184254778,
484,3.263366698,
485,3.382034578,
486,3.217218078,
487,3.269959358,
488,3.309515318,
489,3.223810738,
490,3.197440098,
491,3.507295118,
492,3.428183198,
493,3.395219898,
494,3.263366698,
495,3.236996058,
496,3.289737338,
497,3.487517138,
498,3.342478618,
499,3.362256598,
500,3.289737338,
501,3.342478618,
502,3.197440098,
503,3.329293298,
504,3.289737338,
505,3.223810738,
506,3.474331818,
507,3.269959358,
508,3.461146498,
509,3.032623599,
510,3.447961178,
511,3.599592358,
512,3.276552018,
513,3.441368518,
514,3.151291478,
515,3.118328178,
516,3.408405218,
517,3.012845619,
518,3.019438279,
519,3.685296938,
520,3.269959358,
521,3.105142859,
522,3.019438279,
523,3.157884138,
524,3.355663938,
525,3.362256598,
526,3.672111618,
527,3.256774038,
528,3.500702458,
529,3.157884138,
530,3.395219898,
531,3.230403398,
532,3.401812558,
533,3.434775858,
534,3.335885958,
535,3.428183198,
536,3.236996058,
537,3.263366698,
538,3.461146498,
539,3.164476798,
540,3.335885958,
541,3.184254778,
542,3.151291478,
543,3.652333638,
544,3.533665758,
545,3.210625418,
546,3.454553838,
547,3.236996058,
548,3.045808919,
549,3.342478618,
550,3.223810738,
551,3.342478618,
552,3.091957539,
553,3.058994239,
554,3.421590538,
555,3.138106158,
556,3.177662118,
557,3.177662118,
558,3.085364879,
559,3.322700638,
560,3.138106158,
561,3.335885958,
562,3.276552018,
563,3.355663938,
564,3.204032758,
565,3.138106158,
566,3.296329998,
567,3.382034578,
